"job_id","job_title_short","job_location","job_via","job_schedule_type","salary_year_avg","company_name","job_posted_date"
742192,"Data Analyst","Oslo, Norway","via Ai-Jobs.net","Full-time","98500.0","Unacast","2023-05-11 06:32:46"
975713,"Data Analyst","Oslo, Norway","via Ai-Jobs.net","Full-time","89100.0","Statkraft","2023-05-05 13:48:34"
107048,"Data Analyst","Oslo, Norway","via Ai-Jobs.net","Full-time","57500.0","Statkraft","2023-07-04 15:37:42"
438103,"Data Analyst","Oslo, Norway","via Ai-Jobs.net","Full-time","56700.0","CGG","2023-04-24 17:23:38"
